OF_ratio,temperature_K,pressure_Pa,P,CV,CP,T,M_avg,rho 
1.0,305.5,17250,17250.000000001197,1793.1296856746617,2149.0789205902565,1203.5910036203836,23.35856297071358,0.04026448074161573
1.0,305.5,17500,17500.00000000098,1793.5315959699017,2149.4166082937068,1204.2541930108498,23.36277822958233,0.04083289603691142
1.0,305.5,17750,17750.00000000083,1793.9280569051018,2149.749696834755,1204.9084372584025,23.366939177159175,0.04140110712632284
1.0,305.5,18000,18000.000000000757,1794.3192171814144,2150.0783119443795,1205.5539799852875,23.37104726357873,0.041969117049672135
1.0,305.5,18250,18250.000000000713,1794.7052194498547,2150.402574232316,1206.1910549126587,23.375103880764673,0.042536928760375355
1.0,305.5,18500,18500.00000000058,1795.086200636425,2150.7225994624932,1206.8198863921916,23.379110365527065,0.043104545129042326
1.0,305.5,18750,18750.000000000528,1795.462292245529,2151.038498810032,1207.440689902373,23.383068002456348,0.04367196894688321
1.0,305.5,19000,19000.000000000386,1795.833620643654,2151.3503791015596,1208.0536725122984,23.38697802662852,0.044239202928927704
1.0,305.5,19250,19250.000000000276,1796.2003073245585,2151.6583430398214,1208.6590333154736,23.390841626136382,0.04480624971707588
1.0,305.5,19500,19500.00000000035,1796.562469157607,2151.9624894140165,1209.2569638359255,23.394659944460965,0.04537311188298813
1.0,305.5,19750,19750.00000000027,1796.9202186204038,2152.262913296828,1209.847648408731,23.398434082694205,0.04593979193082394
1.0,305.5,20000,20000.00000000012,1797.273664016983,2152.5597062292145,1210.4312645368648,23.40216510162414,0.04650629229984378
1.0,306.0,10000,10000.00000004733,1778.108038539162,2136.4648171446565,1178.875387743353,23.201633440584107,0.023670992912084052
1.0,306.0,10250,10250.000000040838,1778.7809211193276,2137.031430664784,1179.9830226375523,23.20851581956582,0.02424718297766913
1.0,306.0,10500,10500.000000035187,1779.4383406511795,2137.5849696354085,1181.0653204081596,23.215247458100126,0.02482301408965492
1.0,306.0,10750,10750.000000030352,1780.081006635462,2138.12603496866,1182.1234416596037,23.221835133026257,0.02539849523367915
1.0,306.0,11000,11000.000000026084,1780.7095804659734,2138.655186791209,1183.1584683785766,23.228285167435676,0.025973634968605473
1.0,306.0,11250,11250.000000022459,1781.3246796993537,2139.172948066808,1184.1714109072502,23.23460347058486,0.026548441455998308
1.0,306.0,11500,11500.000000032349,1781.9268818602054,2139.679807824348,1185.1632141583698,23.240795573497564,0.027122922486980592
1.0,306.0,11750,11750.000000028474,1782.5167278414885,2140.1762240425373,1186.13476316821,23.246866660795977,0.027697085506593593
1.0,306.0,12000,12000.000000025128,1783.094724950045,2140.6626262330783,1187.0868880728674,23.25282159925175,0.02827093763634827
1.0,306.0,12250,12250.00000002204,1783.6613496418076,2141.1394177607795,1188.0203685751978,23.25866496342965,0.028844485694594427
1.0,306.0,12500,12500.00000001942,1784.2170499831989,2141.6069779311265,1188.9359379661719,23.26440105879164,0.029417736215356528
1.0,306.0,12750,12750.00000001711,1784.7622478713668,2142.065663873257,1189.8342867521023,23.27003394255051,0.029990695465615877
1.0,306.0,13000,13000.000000015072,1785.2973410410577,2142.515812241861,1190.7160659334163,23.27556744253414,0.030563369461229024
1.0,306.0,13250,13250.000000013231,1785.8227048822062,2142.9577407584816,1191.581889974488,23.2810051742828,0.03113576398160691
1.0,306.0,13500,13500.000000009715,1786.3386940894632,2143.3917496102254,1192.432339498817,23.286350556576487,0.03170788458327368
1.0,306.0,13750,13750.000000008515,1786.8456441618407,2143.818122721291,1193.2679637396786,23.29160682556248,0.03227973661243108
1.0,306.0,14000,14000.00000000741,1787.343872768648,2144.2371289110893,1194.0892827721145,23.296777047630226,0.03285132521655878
1.0,306.0,14250,14250.00000000649,1787.8336809957812,2144.649022950842,1194.8967895497235,23.301864131168447,0.033422655355221514
1.0,306.0,14500,14500.000000005672,1788.3153544847178,2145.0540465291747,1195.6909517661068,23.306870837316076,0.03399373181008736
1.0,306.0,14750,14750.000000004951,1788.7891644751767,2145.4524291359908,1196.47221355894,23.31179978981092,0.03456455919425466
1.0,306.0,15000,15000.000000004222,1789.2553687609711,2145.8443888727143,1197.2409970723543,23.316653484024155,0.03513514196093903
1.0,306.0,15250,15250.000000003763,1789.7142125677676,2146.2301331963054,1197.9977038915845,23.321434295261888,0.035705484411577885
1.0,306.0,15500,15500.000000003243,1790.165929360128,2146.6098596032866,1198.7427163622183,23.326144486402917,0.03627559070339442
1.0,306.0,15750,15750.000000002761,1790.6107415846723,2146.9837562596094,1199.476398805028,23.330786214936087,0.03684546485647368
1.0,306.0,16000,16000.00000000246,1791.0488613552623,2147.352002581335,1200.1990986361523,23.335361539453157,0.03741511076038231
1.0,306.0,16250,16250.000000002201,1791.480491086002,2147.7147697711225,1200.9111474014685,23.339872425647417,0.037984532180368125
1.0,306.0,16500,16500.000000001855,1791.9058240755062,2148.0722213132663,1201.6128617326508,23.34432075186163,0.0385537327631809
1.0,306.0,16750,16750.00000000147,1792.3250450486112,2148.4245134327834,1202.3045442323019,23.348708314226712,0.03912271604253184
1.0,306.0,17000,17000.000000001313,1792.738330657898,2148.7717955203566,1202.9864842941408,23.35303683142608,0.03969148544422558
1.0,306.0,17250,17250.000000001106,1793.145849949147,2149.1142105267245,1203.6589588639672,23.35730794911825,0.04026004429098533
1.0,306.0,17500,17500.000000001022,1793.547764793498,2149.4518953288143,1204.3222331464651,23.36152324404732,0.040828395807000484
1.0,306.0,17750,17750.000000000797,1793.9442302894502,2149.7849810703497,1204.9765612624356,23.36568422786596,0.041396543122205115
1.0,306.0,18000,18000.00000000074,1794.3353951368938,2150.113593478706,1205.6221868605403,23.369792350696958,0.04196448927632
1.0,306.0,18250,18250.000000000542,1794.72140198566,2150.4378531601933,1206.2593436873149,23.373849004452474,0.04253223722266125
1.0,306.0,18500,18500.000000000433,1795.1023877606187,2150.757875875443,1206.8882561188286,23.377855525932134,0.04309978983174423
1.0,306.0,18750,18750.000000000462,1795.4784839651543,2151.073772796484,1207.509139657035,23.381813199716085,0.04366714989468563
1.0,306.0,19000,19000.000000000524,1795.8498169647564,2151.3856507469477,1208.1222013936122,23.385723260870677,0.04423432012642522
1.0,306.0,19250,19250.00000000039,1796.2165082522538,2151.6936124267245,1208.7276404438028,23.389586897479745,0.04480130316877539
1.0,306.0,19500,19500.000000000284,1796.5786746961326,2151.9977566222833,1209.325648352581,23.393405253015697,0.04536810159331199
1.0,306.0,19750,19750.000000000284,1796.9364287731883,2152.2981784037156,1209.9164094752068,23.397179428562183,0.04593471790411319
1.0,306.0,20000,20000.000000000207,1797.289878786661,2152.5949693094626,1210.5001013341152,23.400910484899637,0.04650115454035954
1.0,306.5,10000,10000.000000046184,1778.1240934700159,2136.500288964519,1178.9403194878364,23.200376371763696,0.023668406771724732
1.0,306.5,10250,10250.00000003978,1778.7969789860424,2137.0668936049756,1180.0480886605108,23.207258770239623,0.0242445327910397
1.0,306.5,10500,10500.000000034313,1779.4544015899135,2137.6204240752286,1181.1305179648682,23.2139904295197,0.02482029986748084
