OF_ratio,temperature_K,pressure_Pa,P,CV,CP,T,M_avg,rho 
0.1,273.3,3817501.0,3817501.000000126,2226.8496801944893,2398.0747168246826,602.3755902972362,48.5586850018351,37.01216817239074
0.1,273.3,3820001.0,3820001.000000147,2226.8532462131484,2398.0779643330156,602.3769972157095,48.55877533016365,37.036389043980655
0.1,273.3,3822501.0,3822501.000000132,2226.8568093404633,2398.0812092187584,602.3784029804598,48.55886558261025,37.060609905672855
0.1,273.3,3825001.0,3825001.000000096,2226.860369580662,2398.084451485737,602.3798075931787,48.558955759287926,37.084830757475274
0.1,273.3,3827501.0,3827501.00000013,2226.8639269379732,2398.087691137779,602.3812110555552,48.559045860309794,37.10905159939675
0.1,273.3,3830001.0,3830001.0000001327,2226.867481416607,2398.0909281786944,602.3826133692779,48.559135885788216,37.133272431443686
0.1,273.3,3832501.0,3832501.0000001537,2226.8710330207487,2398.0941626122703,602.3840145360197,48.559225835835626,37.1574932536249
0.1,273.3,3835001.0,3835001.000000172,2226.8745817546396,2398.0973944423486,602.3854145574793,48.559315710564064,37.181714065946586
0.1,273.3,3837501.0,3837501.0000001537,2226.878127622413,2398.100623672666,602.3868134353095,48.55940551008537,37.20593486841747
0.1,273.3,3840001.0,3840001.0000001113,2226.881670628277,2398.103850307034,602.3882111711946,48.55949523451122,37.23015566104459
0.1,273.3,3842501.0,3842501.000000077,2226.8852107763887,2398.107074349214,602.3896077668,48.55958488395301,37.25437644383608
0.1,273.3,3845001.0,3845001.0000001467,2226.888748070933,2398.1102958029956,602.3910032237944,48.559674458522046,37.2785972168004
0.1,273.3,3847501.0,3847501.0000001104,2226.8922825160244,2398.113514672099,602.3923975438308,48.559763958328986,37.30281797994343
0.1,273.3,3850001.0,3850001.0000001346,2226.8958141158214,2398.11673096029,602.3937907285698,48.55985338348478,37.32703873327444
0.1,273.3,3852501.0,3852501.000000156,2226.8993428744757,2398.119944671328,602.395182779672,48.559942734099764,37.351259476799946
0.1,273.3,3855001.0,3855001.0000001458,2226.9028687960895,2398.123155808923,602.3965736987825,48.560032010284125,37.3754802105276
0.1,273.3,3857501.0,3857501.0000000745,2226.9063918847855,2398.1263643768084,602.3979634875514,48.5601212121478,37.3997009344645
0.1,273.3,3860001.0,3860001.0000001383,2226.909912144668,2398.1295703786964,602.3993521476139,48.560210339800925,37.42392164862095
0.1,273.3,3862501.0,3862501.000000092,2226.913429579848,2398.1327738183104,602.400739680622,48.5602993933526,37.4481423530011
0.1,273.3,3865001.0,3865001.0000001444,2226.9169441944146,2398.1359746993508,602.4021260882072,48.560388372912406,37.47236304761512
0.1,273.3,3867501.0,3867501.00000014,2226.920455992446,2398.1391730255086,602.4035113720054,48.56047727858918,37.496583732468714
0.1,273.3,3870001.0,3870001.0000001304,2226.923964978015,2398.14236880047,602.4048955336465,48.56056611049194,37.52080440757009
0.1,273.3,3872501.0,3872501.000000116,2226.927471155192,2398.1455620279194,602.4062785747548,48.560654868729195,37.545025072926876
0.1,273.3,3875001.0,3875001.000000185,2226.9309745280343,2398.148752711529,602.407660496957,48.56074355340946,37.56924572854734
0.1,273.3,3877501.0,3877501.000000139,2226.934475100579,2398.1519408549525,602.4090413018697,48.56083216464073,37.593466374437156
0.1,273.3,3880001.0,3880001.0000002068,2226.93797287689,2398.1551264618683,602.4104209911152,48.560920702531156,37.617687010605884
0.1,273.3,3882501.0,3882501.0000001746,2226.9414678609733,2398.1583095359024,602.4117995663,48.56100916718818,37.641907637059155
0.1,273.3,3885001.0,3885001.0000001616,2226.9449600568787,2398.1614900807217,602.4131770290429,48.56109755871941,37.66612825380516
0.1,273.3,3887501.0,3887501.00000012,2226.948449468592,2398.1646680999306,602.4145533809403,48.5611858772321,37.69034886085156
0.1,273.3,3890001.0,3890001.0000001127,2226.9519361001376,2398.1678435971735,602.4159286236011,48.561274122833275,37.71456945820607
0.1,273.3,3892501.0,3892501.0000002254,2226.955419955523,2398.1710165760783,602.4173027586255,48.56136229563001,37.73879004587717
0.1,273.3,3895001.0,3895001.000000089,2226.9589010387276,2398.1741870402475,602.4186757876158,48.561450395728166,37.76301062386781
0.1,273.3,3897501.0,3897501.0000001425,2226.9623793537266,2398.177354993277,602.4200477121504,48.56153842323496,37.78723119219128
0.1,273.3,3900001.0,3900001.000000127,2226.96585490452,2398.180520438789,602.4214185338377,48.56162637825592,37.81145175085089
0.1,273.3,3902501.0,3902501.0000001653,2226.9693276950493,2398.1836833803504,602.4227882542532,48.56171426089725,37.83567229985616
0.1,273.3,3905001.0,3905001.000000151,2226.972797729268,2398.1868438215392,602.424156874978,48.561802071264566,37.85989283921354
0.1,273.3,3907501.0,3907501.000000159,2226.976265011143,2398.1900017659464,602.4255243975992,48.56188980946341,37.884113368930805
0.1,273.3,3910001.0,3910001.000000222,2226.9797295446233,2398.1931572171475,602.4268908236963,48.5619774755991,37.90833388901552
0.1,273.3,3912501.0,3912501.0000000796,2226.9831913336093,2398.196310178672,602.4282561548354,48.56206506977619,37.93255439947264
0.1,273.3,3915001.0,3915001.0000001295,2226.9866503820567,2398.1994606540993,602.4296203925912,48.5621525921002,37.95677490031367
0.1,273.3,3917501.0,3917501.000000147,2226.990106693877,2398.202608646972,602.430983538533,48.562240042675406,37.9809953915434
0.1,273.3,3920001.0,3920001.000000181,2226.9935602729706,2398.2057541608197,602.4323455942225,48.562327421606106,38.00521587316974
0.1,273.3,3922501.0,3922501.0000000605,2226.9970111232465,2398.208897199181,602.433706561223,48.56241472899644,38.029436345198164
